Dataset 1,,Dataset 2,,Dataset 3,
X,Y,X,Y,X,Y
0.05946937730137336,0.42431761786600497,0.06178282173042285,0.2406947890818859,0.06397450592636444,0.5930521091811414
0.10787956653357009,0.11910669975186106,0.10316450647218614,0.012406947890818865,0.10417637599559984,0.21339950372208438
0.1253500606701851,0.456575682382134,0.12061820609388971,0.3548387096774194,0.13016588782103763,0.533498759305211
0.14722911497105043,0.4913151364764268,0.14763218332892478,0.3722084367245658,0.1468848274153661,0.5930521091811414
0.1786852414001587,0.19602977667493804,0.1755446671117212,0.12406947890818854,0.16823065586779354,0.2853598014888338
0.19661758469683796,0.39702233250620356,0.19532020841992995,0.2803970223325062,0.1996070083510725,0.5136476426799007
0.21855541979989326,0.4143920595533499,0.21900887170250186,0.2803970223325062,0.22152804893921638,0.5359801488833748
0.24457432202642612,0.22580645161290325,0.23636600286346474,0.15136476426799006,0.237537420278537,0.3052109181141439
0.26309447334500546,0.25310173697270466,0.26014703597804945,0.12406947890818854,0.26436665784954627,0.3771712158808933
0.2851330755375294,0.2406947890818859,0.2854353768059351,0.15136476426799006,0.29494107224580446,0.3424317617866005
0.30806598564908694,0.46401985111662536,0.30674341759981183,0.3548387096774194,0.3077468898657698,0.5583126550868486
0.33068399860605524,0.2803970223325062,0.33783006470086874,0.16873449131513651,0.3337154085475683,0.3846153846153846
0.3575552224643431,0.3399503722084367,0.35801707162440743,0.2034739454094293,0.3571017705617344,0.47394540942928043
0.393201580363853,0.8064516129032258,0.39358785420681597,0.6923076923076923,0.39622459304791047,0.913151364764268
0.4208957354528011,0.6228287841191067,0.4212988038106755,0.5037220843672456,0.42040029726291395,0.7692307692307692
0.4412758792978212,0.6004962779156328,0.44165375588332834,0.488833746898263,0.44768298673653173,0.707196029776675
0.4664130694915041,0.6724565756823822,0.4651072959571404,0.5583126550868486,0.46436833730103744,0.7766749379652605
0.48928300017214366,0.4143920595533499,0.4846351181704054,0.28784119106699746,0.49058877370650744,0.5285359801488834
0.5356064709265954,0.22580645161290325,0.5392592779198313,0.14640198511166258,0.5370046142929717,0.3126550868486353
0.5571496349292321,0.35980148883374685,0.5642537147367669,0.26054590570719605,0.5568725254331934,0.4416873449131514
0.577420614427328,0.36972704714640203,0.5979267171341838,0.3101736972704715,0.5805611887157653,0.4416873449131514
0.6059335021182081,0.4441687344913151,0.6211703257716029,0.4416873449131514,0.6238406536425203,0.6526054590570719
0.6241933384556603,0.5483870967741935,0.6482346865513723,0.4441687344913151,0.6391614498704722,0.6253101736972705
0.6462235433907285,0.5384615384615384,0.6681529812363282,0.5583126550868486,0.6671453103416424,0.8560794044665012
0.6675651732144281,0.7320099255583126,0.6958975198700105,0.35980148883374685,0.6916988911421528,0.6004962779156328
0.685358961763088,0.47394540942928043,0.7095514604930029,0.32506203473945405,0.7122973636810217,0.5136476426799007
0.7160341432488149,0.4094292803970223,0.7372792046117735,0.13151364764267992,0.7365990267578607,0.33250620347394544
0.7386017726610488,0.2406947890818859,0.7569539788305139,0.3176178660049628,0.7594563615523169,0.5781637717121588
0.7599014161974698,0.4466501240694789,0.7843122436212331,0.23325062034739463,0.7800632313486413,0.488833746898263
0.7804914914788829,0.36228287841191076,0.8439663605866323,0.6054590570719602,0.8286035780714018,0.6451612903225806
0.8272222292199365,0.5533498759305211,0.8734869191721983,0.3821339950372209,0.8480516263388376,0.8982630272952853
0.8485302700138133,0.7568238213399503,0.8983050135825639,0.5483870967741935,0.8792810268166416,0.6699751861042182
0.8764007675093313,0.521091811414392,0.9412695813547294,0.3523573200992556,0.8940476040525163,0.8064516129032258
0.8944506724103904,0.6873449131513647,0.9624558619154984,0.09181141439205953,0.9163465212261672,0.71712158808933
0.9407153623626521,0.5161290322580645,,,0.9418531907479015,0.6799007444168734
0.9635768957858362,0.26054590570719605,,,0.9662724154291207,0.46401985111662536
